 	9525
e	4918
t	3563
o	3126
a	3125
n	2718
h	2538
i	2439
s	2430
r	2238
d	1731
l	1513
u	1206
m	997
w	990
c	973
f	848
y	794
g	678
,	678
p	653
.	599
b	548
‚	519
Ä	519

	427
v	393
I	363
k	302
ú	202
ù	188
H	154
T	130
A	97
E	94
S	92
M	80
ô	77
-	67
W	66
?	60
x	57
N	51
B	45
C	38
Y	37
q	35
D	35
î	35
j	28
O	26
L	26
R	24
!	18
ò	17
z	15
F	14
P	14
:	13
G	9
U	8
;	7
J	5
K	4
V	4
5	3
1	3
3	2
6	2
2	2
9	2
4	2
Q	1
0	1
7	1
8	1
'	1
